"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"MAHICKRA","Mahickra Chemicals Limited","Komal Miteshkumar Gandhi","10-MAR-2021 to 10-MAR-2021","1500",,"893113","Reg29(2)","12-Mar-2021, 18-30"
"BCONCEPTS","Brand Concepts Limited","Prateek Maheshwari","09-MAR-2021 to 09-MAR-2021","60000",,"1110000","Reg29(2)","12-Mar-2021, 18-28"
"VRLLOG","VRL Logistics Limited","Nippon Life India Trustee Limited (formerly known as Reliance Capital Trustee Co Ltd) A/c through various schemes of Nippon india Mutual Fund","09-MAR-2021 to 09-MAR-2021",,"402310","6667864","Reg29(2)","12-Mar-2021, 18-28"
"PPAP","PPAP Automotive Limited","Kalindi Farms Private Limited","10-MAR-2021 to 10-MAR-2021","2000",,"9034397","Reg29(2)","12-Mar-2021, 18-26"
"MAHICKRA","Mahickra Chemicals Limited","Anitaben Ashishkumar Gandhi","10-MAR-2021 to 10-MAR-2021","1500",,"196900","Reg29(2)","12-Mar-2021, 18-24"
"MAHICKRA","Mahickra Chemicals Limited","Anitaben Ashishkumar Gandhi","10-MAR-2021 to 10-MAR-2021","1500",,"198400","Reg29(2)","12-Mar-2021, 18-22"
"MOTHERSUMI","Motherson Sumi Systems Limited","IDBI Trusteeship Services Limited","24-NOV-2020 to 09-MAR-2021",,"86926512","82000000","Reg29(2)","12-Mar-2021, 18-22"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","Robust Marketing Services Private Limited","10-MAR-2021 to 10-MAR-2021","124257",,"10523301","Reg29(2)","12-Mar-2021, 18-20"
"MAHICKRA","Mahickra Chemicals Limited","Nimit Miteshkumar Gandhi","10-MAR-2021 to 10-MAR-2021","1500",,"63000","Reg29(2)","12-Mar-2021, 16-44"
"HINDNATGLS","Hindusthan National Glass & Industries Limited","Ironwood Investment Holdings","13-JAN-2021 to 09-MAR-2021",,"1844548","2710079","Reg29(2)","12-Mar-2021, 16-18"
"ORIENTBELL","Orient Bell Limited","Sarla Daga","10-MAR-2021 to 10-MAR-2021","2600",,"745747","Reg29(2)","12-Mar-2021, 16-18"
"RGL","Renaissance Global Limited","Amit Chandrakant Shah","16-FEB-2021 to 16-FEB-2021",,"136500","531479","Reg29(2)","12-Mar-2021, 16-16"
"USHAMART","Usha Martin Limited","Peterhouse Investments Limited","10-MAR-2021 to 10-MAR-2021",,"270000","12134919","Reg29(2)","12-Mar-2021, 16-14"
"JMA","Jullundur Motor Agency (Delhi) Limited","Ranjit Puri","16-FEB-2021 to 16-FEB-2021",,"2043760","0","Reg29(2)","12-Mar-2021, 16-12"
"JMA","Jullundur Motor Agency (Delhi) Limited","Adtiya Puri","16-FEB-2021 to 16-FEB-2021",,"461250","0","Reg29(2)","12-Mar-2021, 16-12"
"MAHICKRA","Mahickra Chemicals Limited","Nimit Miteshkumar Gandhi","10-MAR-2021 to 10-MAR-2021","1500",,"61500","Reg29(2)","12-Mar-2021, 16-12"
"JMA","Jullundur Motor Agency (Delhi) Limited","Ranjit Puri","16-FEB-2021 to 16-FEB-2021",,"2043760","0","Reg29(2)","12-Mar-2021, 16-10"
"JMA","Jullundur Motor Agency (Delhi) Limited","Aditya Puri","16-FEB-2021 to 16-FEB-2021",,"461250","0","Reg29(2)","12-Mar-2021, 16-10"
"JMA","Jullundur Motor Agency (Delhi) Limited","Romila Kumar","16-FEB-2021 to 16-FEB-2021",,"479920","0","Reg29(2)","12-Mar-2021, 16-10"
"JMA","Jullundur Motor Agency (Delhi) Limited","Sanjeev Kumar","16-FEB-2021 to 16-FEB-2021",,"1247510","0","Reg29(2)","12-Mar-2021, 16-10"
"JMA","Jullundur Motor Agency (Delhi) Limited","Sudhansh Mohan Kumar","16-FEB-2021 to 16-FEB-2021",,"981350","0","Reg29(2)","12-Mar-2021, 16-10"
"SBILIFE","SBI Life Insurance Company Limited","BNP Paribas Cardif","12-MAR-2021 to 12-MAR-2021",,"50003480","2003612","Reg29(2)","12-Mar-2021, 16-06"
"RAJRATAN","Rajratan Global Wire Limited","Mr. Sunil Chordia","12-MAR-2021 to 12-MAR-2021","31169",,"101188","Reg29(2)","12-Mar-2021, 16-02"
"RAJRATAN","Rajratan Global Wire Limited","Yashovardhan Chordia","12-MAR-2021 to 12-MAR-2021","16500",,"641833","Reg29(2)","12-Mar-2021, 16-02"
"BPCL","Bharat Petroleum Corporation Limited","BPCL Trust for Investment in Shares","09-MAR-2021 to 09-MAR-2021",,"126033090","32960307","Reg29(2)","11-Mar-2021, 06-00"
"DOLLAR","Dollar Industries Limited","Dollar Holdings Private Limited (Formerly known as Simplex Impex Pvt Ltd)","09-MAR-2021 to 09-MAR-2021","200000",,"26245534","Reg29(2)","11-Mar-2021, 06-00"
"DOLLAR","Dollar Industries Limited","Vinod Kumar Gupta","09-MAR-2021 to 09-MAR-2021",,"200000","245590","Reg29(2)","11-Mar-2021, 06-00"
"DOLLAR","Dollar Industries Limited","DOLLAR HOLDINGS PRIVATE LIMITED","09-MAR-2021 to 09-MAR-2021","200000",,"26245534","Reg29(2)","11-Mar-2021, 06-00"
"DOLLAR","Dollar Industries Limited","Vinod Kumar Gupta","09-MAR-2021 to 09-MAR-2021",,"200000","245590","Reg29(2)","11-Mar-2021, 06-00"
"GREENPANEL","Greenpanel Industries Limited","Jwalamukhi Investment Holdings","08-MAR-2021 to 08-MAR-2021",,"3875000","10908733","Reg29(2)","11-Mar-2021, 06-00"
"INDOWIND","Indowind Energy Limited","Ind Eco Ventures Limited","09-MAR-2021 to 09-MAR-2021",,"2145653","0","Reg29(2)","11-Mar-2021, 06-00"
"JMA","Jullundur Motor Agency (Delhi) Limited","Sanjeev Kumar","16-FEB-2021 to 16-FEB-2021",,"1247510","0","Reg29(2)","11-Mar-2021, 06-00"
"JMA","Jullundur Motor Agency (Delhi) Limited","Romila Kumar","16-FEB-2021 to 16-FEB-2021",,"479920","0","Reg29(2)","11-Mar-2021, 06-00"
"JMA","Jullundur Motor Agency (Delhi) Limited","Sudhansh Mohan Kumar","16-FEB-2021 to 16-FEB-2021",,"981350","0","Reg29(2)","11-Mar-2021, 06-00"
"KPITTECH","KPIT Technologies Limited","Kishor Patil","10-MAR-2021 to 10-MAR-2021",,"6050000","13345605","Reg29(2)","11-Mar-2021, 06-00"
"PFIZER","Pfizer Limited","Life Insurance Corporation of India","09-MAR-2021 to 09-MAR-2021","48244",,"2307523","Reg29(1)","11-Mar-2021, 06-00"
"PRAKASH","Prakash Industries Limited","Ved Prakash Agarwal","08-MAR-2021 to 08-MAR-2021","20000",,"8648907","Reg29(2)","11-Mar-2021, 06-00"
"RENUKA","Shree Renuka Sugars Limited","IDBI Bank Limited","09-APR-2018 to 08-MAR-2021",,"42991276","138977943","Reg29(2)","11-Mar-2021, 06-00"
"REPL","Rudrabhishek Enterprises Limited","Richa Misra","04-MAR-2021 to 10-MAR-2021","12600",,"863100","Reg29(2)","11-Mar-2021, 06-00"
"SIGIND","Signet Industries Limited","Mukesh Sangla","10-MAR-2021 to 10-MAR-2021","2000",,"822586","Reg29(2)","10-Mar-2021, 19-42"
"KHADIM","Khadim India Limited","Siddhartha Ray Burman","09-MAR-2021 to 09-MAR-2021","1000",,"1681649","Reg29(2)","10-Mar-2021, 19-40"
"PRIMESECU","Prime Securities Limited","N. Jayakumar along with PAC","09-MAR-2021 to 09-MAR-2021",,,"5682484","Reg29(2)","10-Mar-2021, 19-38"
"SHRENIK","Shrenik Limited","Mr. Kaivan Vimawala","08-MAR-2021 to 09-MAR-2021",,"131700","15658478","Reg29(2)","10-Mar-2021, 19-32"
"SHRENIK","Shrenik Limited","Mr. Rishit Vimawala","08-MAR-2021 to 09-MAR-2021",,"1625000","26128000","Reg29(2)","10-Mar-2021, 19-32"
"VIPCLOTHNG","VIP Clothing Limited","Mr. Kanishk Sunil Pathare (Son of Mr. Sunil Jaykumar Pathare)","09-MAR-2021 to 09-MAR-2021","13001",,"43811374","Reg29(1)","10-Mar-2021, 19-20"
"MAHICKRA","Mahickra Chemicals Limited","Komal Miteshkumar Gandhi","09-MAR-2021 to 09-MAR-2021","1500",,"890113","Reg29(2)","10-Mar-2021, 19-18"
"ORIENTBELL","Orient Bell Limited","Sarla Daga","09-MAR-2021 to 09-MAR-2021","1698",,"743147","Reg29(2)","10-Mar-2021, 19-18"
"RSYSTEMS","R Systems International Limited","RightMatch Holdings Limited along with PAC","09-MAR-2021 to 09-MAR-2021",,"8828489","0","Reg29(2)","10-Mar-2021, 19-18"
"RSYSTEMS","R Systems International Limited","Harpreet Rekhi alongwith PAC","09-MAR-2021 to 09-MAR-2021","4414244",,"5149865","Reg29(2)","10-Mar-2021, 19-18"
"RSYSTEMS","R Systems International Limited","Satinder Singh Rekhi along with PAC","09-MAR-2021 to 09-MAR-2021","4414245",,"7476452","Reg29(2)","10-Mar-2021, 19-18"
"HBLPOWER","HBL Power Systems Limited","Venkata Sriram Karipineni","04-MAR-2021 to 04-MAR-2021",,"100000","0","Reg29(2)","10-Mar-2021, 19-16"
"AARVI","Aarvi Encon Limited","Virendra D Sanghavi","08-MAR-2021 to 08-MAR-2021","3255000",,"7595000","Reg29(2)","10-Mar-2021, 19-10"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance","08-MAR-2021 to 08-MAR-2021","45000",,"9268886","Reg29(2)","10-Mar-2021, 19-10"
"GODFRYPHLP","Godfrey Phillips India Limited","K K Modi Investment And Financial Services Private Limited along with PAC","10-MAR-2021 to 10-MAR-2021","13000",,"24687953","Reg29(2)","10-Mar-2021, 19-02"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti (HUF)","09-MAR-2021 to 09-MAR-2021","6642",,"104911","Reg29(2)","10-Mar-2021, 17-28"
"21STCENMGM","21st Century Management Services Limited","Mr. Karthik Iyer","05-MAR-2021 to 08-MAR-2021","11077",,"501352","Reg29(2)","10-Mar-2021, 06-00"
"ASIANTILES","Asian Granito India Limited","Kamleshkumar B Patel","08-MAR-2021 to 08-MAR-2021","288888",,"5086339","Reg29(2)","10-Mar-2021, 06-00"
"ASIANTILES","Asian Granito India Limited","Kamleshkumar B Patel","08-MAR-2021 to 08-MAR-2021",,,"961112","Reg29(2)","10-Mar-2021, 06-00"
"BLBLIMITED","BLB Limited","Brij Rattan Bagri","08-MAR-2021 to 08-MAR-2021","245",,"33660506","Reg29(2)","10-Mar-2021, 06-00"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","Robust Marketing Services Private Limited","08-MAR-2021 to 08-MAR-2021","28000",,"10274044","Reg29(2)","10-Mar-2021, 06-00"
"SEQUENT","Sequent Scientific Limited","Pronomz Ventures LLP","10-JUN-2020 to 10-JUN-2020",,"17429083","7670000","Reg29(2)","10-Mar-2021, 06-00"
"ZEELEARN","Zee Learn Limited","Jayneer Infrapower and Multiventures Private Ltd","05-MAR-2021 to 05-MAR-2021",,"7950000","19404227","Reg29(2)","09-Mar-2021, 22-52"
"MFSL","Max Financial Services Limited","Max Ventures Investment Holdings Pvt  along with PAC","09-MAR-2021 to 09-MAR-2021",,"934138","58629470","Reg29(2)","09-Mar-2021, 22-48"
"BCONCEPTS","Brand Concepts Limited","Abhinav Kumar","08-MAR-2021 to 08-MAR-2021","63000",,"763000","Reg29(2)","09-Mar-2021, 22-46"
"INFY","Infosys Limited","Janhavi Nilekani","09-MAR-2021 to 09-MAR-2021",,"777600","11887562","Reg29(2)","09-Mar-2021, 22-46"
"INFY","Infosys Limited","Tanush Nilekani Chandra","09-MAR-2021 to 09-MAR-2021","777600",,"777600","Reg29(2)","09-Mar-2021, 22-46"
"DEN","Den Networks Limited","Broad Street Investments (Singapore) Pte. Ltd. alongwith PAC","05-MAR-2021 to 05-MAR-2021",,"9888128","37647295","Reg29(2)","09-Mar-2021, 18-46"
"NCLIND","NCL Industries Limited","Kalidindi Ravi","04-MAR-2021 to 04-MAR-2021",,"1000","2585412","Reg29(2)","09-Mar-2021, 18-34"
"ORIENTBELL","Orient Bell Limited","Mahendra K. Daga","08-MAR-2021 to 08-MAR-2021","16000",,"3235272","Reg29(2)","09-Mar-2021, 18-34"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti (HUF)","08-MAR-2021 to 08-MAR-2021","5586",,"98269","Reg29(2)","09-Mar-2021, 18-32"
"USHAMART","Usha Martin Limited","Jhawar Venture Management Pvt Ltd","08-MAR-2021 to 08-MAR-2021",,"200000","200000","Reg29(2)","09-Mar-2021, 18-22"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","Robust Marketing Services Private Limited","05-MAR-2021 to 05-MAR-2021","50000",,"10246044","Reg29(2)","08-Mar-2021, 20-14"
"GOODLUCK","Goodluck India Limited","Umesh Garg along with PAC","08-MAR-2021 to 08-MAR-2021","1500000",,"15965348","Reg29(2)","08-Mar-2021, 19-46"
"PERFECT","Perfect Infraengineers Limited","SunTrac Solar Manufacturing LLC","06-MAR-2021 to 06-MAR-2021","1000000",,"1000000","Reg29(1)","08-Mar-2021, 19-42"
"ZODIACLOTH","Zodiac Clothing Company Limited","Pari Washington India Master Fund, Ltd.","05-MAR-2021 to 05-MAR-2021",,"515888","0","Reg29(2)","08-Mar-2021, 19-40"
"SNOWMAN","Snowman Logistics Limited","Adani Logistics Limited","10-FEB-2021 to 04-MAR-2021",,"2991761","0","Reg29(2)","08-Mar-2021, 19-38"
"DVL","Dhunseri Ventures Limited","Mitali Khaitan (Minor) represented by Mr. Haigreve Khaitan Father & Natural Guardian","03-MAR-2021 to 03-MAR-2021","10000",,"10000","Reg29(1)","08-Mar-2021, 19-36"
"VIPCLOTHNG","VIP Clothing Limited","Maxwell Capital Management Private Limited alongwith PAC","05-MAR-2021 to 05-MAR-2021","20000",,"20000","Reg29(1)","08-Mar-2021, 19-36"
"GRAVITA","Gravita India Limited","Rajat Agrawal","03-MAR-2021 to 03-MAR-2021","1",,"33049265","Reg29(2)","08-Mar-2021, 19-10"
"GRAVITA","Gravita India Limited","Dr. Mahavir Prasad Agarwal Trustee on behalf of Agrawal Family Private Trust","03-MAR-2021 to 03-MAR-2021","0",,"17348025","Reg29(2)","08-Mar-2021, 19-10"
"SHRENIK","Shrenik Limited","Mr. Kaivan Vimawala","05-MAR-2021 to 05-MAR-2021",,"100000","15790178","Reg29(2)","08-Mar-2021, 19-10"
"GATI","GATI Limited","Param Capital (Through its Partner Mukul Mahavir Agrawal)","01-MAR-2021 to 03-MAR-2021","800000",,"6301596","Reg29(1)","08-Mar-2021, 17-12"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti (HUF)","05-MAR-2021 to 05-MAR-2021","499",,"92683","Reg29(2)","08-Mar-2021, 17-10"
"VAIBHAVGBL","Vaibhav Global Limited","Motilal Oswal Multicap 35 Fund Motilal Oswal Nifty Smallcap 250 Index Fund Motilal Oswal Nifty 500 Fund                   (Schemes of Motilal Oswal Mutual Fund)","04-MAR-2021 to 04-MAR-2021",,"76000","2461988","Reg29(2)","08-Mar-2021, 16-14"
"TATACHEM","Tata Chemicals Limited","ICICI Prudential Mutual Fund","04-MAR-2021 to 04-MAR-2021",,"810266","7771360","Reg29(2)","08-Mar-2021, 16-12"
"ARTNIRMAN","Art Nirman Limited","Dharmisthaben Ashokkumar Thakkar","01-SEP-2018 to 01-SEP-2018","0",,"5000","Reg29(2)","08-Mar-2021, 16-10"
"ARTNIRMAN","Art Nirman Limited","Ashokkumar Raghuram Thakkar","01-SEP-2018 to 01-SEP-2018","0",,"5594995","Reg29(2)","08-Mar-2021, 16-10"
"ARTNIRMAN","Art Nirman Limited","Raghurambhai Vasrambhai Thakkar","01-SEP-2018 to 01-SEP-2018","0",,"1","Reg29(2)","08-Mar-2021, 16-10"
"ARTNIRMAN","Art Nirman Limited","Piyushkumar C. Thakkar","01-SEP-2018 to 01-SEP-2018","0",,"1","Reg29(2)","08-Mar-2021, 16-10"
"PASHUPATI","Pashupati Cotspin Limited","Shree Pashupati Fabric LLP","05-MAR-2021 to 05-MAR-2021","118400",,"171200","Reg29(2)","08-Mar-2021, 14-42"
"RPPINFRA","R.P.P. Infra Projects Limited","A Nithya","04-MAR-2021 to 04-MAR-2021","1050000",,"13079739","Reg29(2)","08-Mar-2021, 13-14"
"IRCON","Ircon International Limited","The President of India acting through and represented by the Ministry of Railways Government of Indiia","03-MAR-2021 to 04-MAR-2021",,,"344150825","Reg29(2)","08-Mar-2021, 13-12"
"PKTEA","The Peria Karamalai Tea & Produce Company Limited","Placid Limited","03-MAR-2021 to 03-MAR-2021","15261",,"801460","Reg29(2)","08-Mar-2021, 13-12"
"SHRENIK","Shrenik Limited","Kaivan Vimawala","03-MAR-2021 to 04-MAR-2021",,"1670000","15890178","Reg29(2)","08-Mar-2021, 13-12"
"KIRLOSIND","Kirloskar Industries Limited","Arti KirJoskar","05-MAR-2021 to 05-MAR-2021",,"351739","357909","Reg29(2)","08-Mar-2021, 13-08"
"KIRLOSIND","Kirloskar Industries Limited","Aditi Kirloskar","05-MAR-2021 to 05-MAR-2021","175869",,"175869","Reg29(2)","08-Mar-2021, 13-08"
"KIRLOSIND","Kirloskar Industries Limited","Gauri Kirloskar","05-MAR-2021 to 05-MAR-2021","527608",,"527608","Reg29(2)","08-Mar-2021, 13-08"
"KIRLOSIND","Kirloskar Industries Limited","Atul Kirloskar","05-MAR-2021 to 05-MAR-2021",,"351738","1283562","Reg29(2)","08-Mar-2021, 13-08"
"SINTERCOM","Sintercom India Limited","MIBA SINTER HOLDING GMBH & CO KG","03-MAR-2021 to 03-MAR-2021","1350000",,"6339085","Reg29(2)","08-Mar-2021, 13-08"
"MCDHOLDING","McDowell Holdings Limited","Acacia II Partners LP Acacia Institutional Partners LP Acacia Partners LP Acacia Conservation Fund LP Acacia Banyan Partners","03-MAR-2021 to 03-MAR-2021",,"122965","1497493","Reg29(2)","08-Mar-2021, 13-00"
"PRAKASH","Prakash Industries Limited","Ved Prakash Agarwal","03-MAR-2021 to 03-MAR-2021","40000",,"8628907","Reg29(2)","08-Mar-2021, 13-00"
"BLBLIMITED","BLB Limited","Brij Rattan Bagri","05-MAR-2021 to 05-MAR-2021","115631",,"33660261","Reg29(2)","08-Mar-2021, 09-04"
"LIBAS","Libas Consumer Products Limited","Nishant Mahimtura","04-MAR-2021 to 04-MAR-2021",,"50000","2700975","Reg29(2)","08-Mar-2021, 09-04"
"STEELCITY","Steel City Securities Limited","PYLA MADHU","05-MAR-2021 to 05-MAR-2021","1300",,"51300","Reg29(2)","08-Mar-2021, 09-04"
"STEELCITY","Steel City Securities Limited","KAMIREDDI SATYANARAYANA","05-MAR-2021 to 05-MAR-2021","1474",,"1592000","Reg29(2)","08-Mar-2021, 09-04"
"MERCATOR","Mercator Limited","Anand Rathi Global Finance Ltd","02-JUL-2020 to 02-JUL-2020","25500000",,"25500000","Reg29(1)","06-Mar-2021, 08-40"
"JETKNIT","Jet Knitwears Limited","Haryana Refractories Pvt Ltd, Manoj Agarwal","04-MAR-2021 to 04-MAR-2021","291000",,"358500","Reg29(1)","06-Mar-2021, 08-14"
"DBCORP","D.B.Corp Limited","Vistra ITCL (India) Limited","15-FEB-2021 to 04-MAR-2021",,"7300000","30500000","Reg29(2)","06-Mar-2021, 08-12"
"BHAGERIA","Bhageria Industries Limited","Abhishek Bhageria HUF","03-MAR-2021 to 03-MAR-2021",,"8000","0","Reg29(2)","05-Mar-2021, 20-00"
"BHAGERIA","Bhageria Industries Limited","Abhishek Bhageria","03-MAR-2021 to 03-MAR-2021",,"9200","0","Reg29(2)","05-Mar-2021, 20-00"
"BHAGERIA","Bhageria Industries Limited","Aditya Bhageria","03-MAR-2021 to 03-MAR-2021","18189",,"113729","Reg29(2)","05-Mar-2021, 20-00"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","Robust Marketing Services Private Limited","04-MAR-2021 to 04-MAR-2021","40000",,"10196044","Reg29(2)","05-Mar-2021, 19-36"
"LGBFORGE","LGB Forge Limited","SUPER TRANSPORTS PRIVATE LIMITED","04-MAR-2021 to 04-MAR-2021",,"2500","1722500","Reg29(2)","05-Mar-2021, 19-36"
"USHAMART","Usha Martin Limited","PETERHOUSE INVESTMENTS LIMITED","04-MAR-2021 to 04-MAR-2021",,"195000","12404919","Reg29(2)","05-Mar-2021, 18-48"
"DHUNINV","Dhunseri Investments Limited","Mitali Khaitan (Minor) represented by Mr. Haigreve Khaitan Father & Natural Guardian","03-MAR-2021 to 03-MAR-2021","5000",,"5000","Reg29(1)","05-Mar-2021, 18-18"
"DTIL","Dhunseri Tea & Industries Limited","Mitali Khaitan (Minor) represented by Mr. Haigreve Khaitan father & natural guardian","03-MAR-2021 to 03-MAR-2021","2000",,"2000","Reg29(1)","05-Mar-2021, 18-18"
"BLBLIMITED","BLB Limited","Brij Rattan Bagri","04-MAR-2021 to 04-MAR-2021","89818",,"33544630","Reg29(2)","05-Mar-2021, 18-16"
"GRSE","Garden Reach Shipbuilders & Engineers Limited","Nippon Life India Trustee Limited (formerly known as Reliance Capital Trustee Co Ltd) A/c through the scheme of Nippon India Mutual Fund","03-MAR-2021 to 03-MAR-2021","200024",,"5861936","Reg29(1)","05-Mar-2021, 18-16"
"METROPOLIS","Metropolis Healthcare Limited","Sushil Shah Family Trust","02-MAR-2021 to 02-MAR-2021","1277920",,"1277920","Reg29(1)","05-Mar-2021, 18-14"
"EMKAY","Emkay Global Financial Services Limited","Portfolio Management Clients of Equity Intelligence India Pvt Ltd, Equity Intelligence India Pvt Ltd & Mr. Porinju Veliyath","04-MAR-2021 to 04-MAR-2021",,"8418","1271065","Reg29(2)","05-Mar-2021, 14-54"
"AGCNET","AGC Networks Limited","Essar Telecom Limited","03-MAR-2021 to 03-MAR-2021","1300458",,"15382513","Reg29(2)","05-Mar-2021, 14-34"
"AGCNET","AGC Networks Limited","Essar Telecom Limited","03-MAR-2021 to 03-MAR-2021","0",,"2500000","Reg29(2)","05-Mar-2021, 14-34"
"AGCNET","AGC Networks Limited","Onior Metallics Limited","03-MAR-2021 to 03-MAR-2021","334370",,"6807267","Reg29(2)","05-Mar-2021, 14-34"
"AGCNET","AGC Networks Limited","Onior Metallics Limited","03-MAR-2021 to 03-MAR-2021","0",,"833334","Reg29(2)","05-Mar-2021, 14-34"
"SIGIND","Signet Industries Limited","Mukesh Sangla","04-MAR-2021 to 04-MAR-2021","1000",,"820586","Reg29(2)","05-Mar-2021, 14-30"
"PNC","Pritish Nandy Communications Limited","Gannon Dunkerley Finance Ltd","01-MAR-2021 to 01-MAR-2021",,"600000","302842","Reg29(2)","05-Mar-2021, 14-16"
"RGL","Renaissance Global Limited","Amit Shah","03-MAR-2021 to 03-MAR-2021",,"167312","303812","Reg29(2)","05-Mar-2021, 14-16"
"SANGHIIND","Sanghi Industries Limited","IDBI Trusteeship Services Limited","17-FEB-2021 to 17-FEB-2021","51855616",,"51855616","Reg29(1)","05-Mar-2021, 14-16"
"SIGMA","Sigma Solve Limited","Dipti Jayeshbhai Shah","02-MAR-2021 to 03-MAR-2021","9000",,"9000","Reg29(2)","05-Mar-2021, 14-12"
"BLBLIMITED","BLB Limited","Brij Ratan Bagri","03-MAR-2021 to 03-MAR-2021","15009",,"33454812","Reg29(2)","05-Mar-2021, 14-10"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","Robust Marketing Services Private Limited","03-MAR-2021 to 03-MAR-2021","40000",,"10156044","Reg29(2)","05-Mar-2021, 14-10"
"RUCHI","Ruchi Soya Industries Limited","SBICAP Trustee Company Limited","03-MAR-2021 to 03-MAR-2021","142500000",,"292500000","Reg29(2)","05-Mar-2021, 14-10"
"USHAMART","Usha Martin Limited","Peterhouse Investments Limited","02-MAR-2021 to 03-MAR-2021",,"805000","12599919","Reg29(2)","05-Mar-2021, 13-58"
"GDL","Gateway Distriparks Limited","Mirae Asset Mutual Fund.","02-MAR-2021 to 02-MAR-2021","7624",,"9421720","Reg29(2)","05-Mar-2021, 13-56"
"SIGIND","Signet Industries Limited","Mukesh Sangla","04-MAR-2021 to 04-MAR-2021","1000",,"820586","Reg29(2)","05-Mar-2021, 13-56"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti (HUF)","04-MAR-2021 to 04-MAR-2021","4642",,"92184","Reg29(2)","05-Mar-2021, 13-18"
"METROPOLIS","Metropolis Healthcare Limited","Duru Shah Family Trust","02-MAR-2021 to 02-MAR-2021","1277920",,"1277920","Reg29(1)","05-Mar-2021, 13-16"
"MAXHEALTH","Max Healthcare Institute Limited","Analjit Singh along with PAC","02-MAR-2021 to 02-MAR-2021","99000",,"406229","Reg29(2)","05-Mar-2021, 06-00"
"MAXHEALTH","Max Healthcare Institute Limited","Veer Singh along with PAC","02-MAR-2021 to 02-MAR-2021",,"99000","406229","Reg29(2)","05-Mar-2021, 06-00"
"MAXIND","Max India Limited","Veer Singh along with PAC","02-MAR-2021 to 02-MAR-2021",,"20000","21991013","Reg29(2)","05-Mar-2021, 06-00"
"MAXVIL","Max Ventures and Industries Limited","Analjit Singh along with PAC","02-MAR-2021 to 02-MAR-2021","47637",,"72846286","Reg29(2)","05-Mar-2021, 06-00"
"MAXVIL","Max Ventures and Industries Limited","Veer Singh along with PAC","02-MAR-2021 to 02-MAR-2021",,"47637","72846286","Reg29(2)","05-Mar-2021, 06-00"
"METROPOLIS","Metropolis Healthcare Limited","Dr. Sushil Shah","02-MAR-2021 to 02-MAR-2021",,"1277920","2447325","Reg29(2)","05-Mar-2021, 06-00"
"METROPOLIS","Metropolis Healthcare Limited","Dr. Duru Shah","02-MAR-2021 to 02-MAR-2021",,"1277920","4876765","Reg29(2)","05-Mar-2021, 06-00"
"MFSL","Max Financial Services Limited","Veer Singh along with PAC","02-MAR-2021 to 02-MAR-2021",,"100000","59563608","Reg29(2)","05-Mar-2021, 06-00"
"STEELCITY","Steel City Securities Limited","Satish Kumar Arya","03-MAR-2021 to 04-MAR-2021","30160",,"1046000","Reg29(2)","05-Mar-2021, 06-00"
"MAXIND","Max India Limited","Analjit Singh along with PAC","02-MAR-2021 to 02-MAR-2021","0",,"21991013","Reg29(2)","04-Mar-2021, 23-58"
"MFSL","Max Financial Services Limited","Analjit Singh along with PAC","02-MAR-2021 to 02-MAR-2021","0",,"59563608","Reg29(2)","04-Mar-2021, 23-58"
"AGCNET","AGC Networks Limited","Essar Telecom Limited","03-MAR-2021 to 03-MAR-2021","1300458",,"15382513","Reg29(2)","04-Mar-2021, 19-22"
"AGCNET","AGC Networks Limited","Onior Metallics Limited","03-MAR-2021 to 03-MAR-2021","334370",,"6807267","Reg29(2)","04-Mar-2021, 19-22"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti (HUF)","03-MAR-2021 to 03-MAR-2021","60",,"87542","Reg29(2)","04-Mar-2021, 19-22"
"INDUSTOWER","Indus Towers Limited","Axis Trustee Services Limited","03-MAR-2021 to 03-MAR-2021","190657769",,"190657769","Reg29(1)","04-Mar-2021, 19-18"
"PASHUPATI","Pashupati Cotspin Limited","Shree Pashupati Fabric LLP","03-MAR-2021 to 03-MAR-2021","38400",,"52800","Reg29(2)","04-Mar-2021, 16-10"
